reachability,labels,min_samples,xi,min_cluster_size,fit
30.315279054276306,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
32.52864585595996,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
34.25966627733328,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
34.25966627733328,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
34.25966627733328,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
34.25966627733328,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
34.25966627733328,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
34.364246602117944,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
34.78477953812648,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
36.0081585316755,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
36.05129004426774,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
36.05129004426774,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
36.107208493283416,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
36.347262720141465,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
36.347262720141465,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
36.375783957705984,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
36.505561968217314,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
36.55797160038475,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
33.5705559480126,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
26.466255406300554,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
23.40924922490299,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
23.40924922490299,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
23.40924922490299,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
23.40924922490299,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
23.40924922490299,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
23.40924922490299,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
23.40924922490299,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
23.40924922490299,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
24.99170264901713,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
25.481733165414386,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
25.481733165414386,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
27.96306737138132,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
28.57481940067295,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
29.828357802060157,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
30.462673359206104,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
30.462673359206104,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
31.886901849699957,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
32.01232018948859,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
32.97349971688036,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
33.263431383241176,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
33.66842309714639,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
33.736253418099665,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
34.05348203362747,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
35.19006967660015,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
36.37616120150491,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
36.55797160038475,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
36.55797160038475,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
36.55797160038475,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
36.55797160038475,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
36.86102635666807,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
36.92278818267319,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
36.92278818267319,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
36.92278818267319,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
33.78585542794584,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
33.134219489966924,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
33.134219489966924,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
30.114446447860843,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
30.114446447860843,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
30.114446447860843,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
30.114446447860843,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
28.773609722145583,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
28.773609722145583,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
28.079031172994544,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
28.079031172994544,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
28.079031172994544,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
28.079031172994544,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
28.079031172994544,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
